67, 67
67, 67
66, 66
65, 65
64, 64
64, 64
63, 63
64, 64
64, 64
64, 64
64, 64
64, 64
64, 64
65, 65
66, 66
66, 66
67, 67
69, 69
72, 72
74, 74
74, 74
71, 71
67, 67
66, 66
66, 66
66, 66
67, 67
67, 67
67, 67
67, 67
67, 67
66, 66
66, 66
65, 65
64, 64
64, 64
64, 64
66, 66
66, 66
64, 64
63, 63
63, 63
63, 63
64, 64
65, 65
65, 65
66, 66
68, 68
71, 71
72, 72
71, 71
68, 68
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
67, 67
67, 67
66, 66
66, 66
66, 66
65, 65
65, 65
64, 64
67, 67
70, 70
70, 70
67, 67
63, 63
62, 62
62, 62
63, 63
63, 63
64, 64
65, 65
67, 67
68, 68
69, 69
67, 67
65, 65
65, 65
65, 65
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
65, 65
65, 65
65, 65
71, 71
75, 75
74, 74
71, 71
67, 67
62, 62
62, 62
62, 62
62, 62
63, 63
63, 63
64, 64
66, 66
66, 66
64, 64
64, 64
64, 64
65, 65
65, 65
65, 65
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
65, 65
69, 69
75, 75
78, 78
78, 78
75, 75
70, 70
61, 61
61, 61
61, 61
62, 62
62, 62
62, 62
63, 63
63, 63
63, 63
63, 63
63, 63
64, 64
64, 64
65, 65
65, 65
65, 65
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
73, 73
79, 79
81, 81
81, 81
78, 78
74, 74
61, 61
61, 61
60, 60
61, 61
61, 61
62, 62
62, 62
62, 62
62, 62
63, 63
63, 63
63, 63
64, 64
64, 64
65, 65
65, 65
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
68, 68
76, 76
82, 82
84, 84
83, 83
80, 80
76, 76
63, 63
60, 60
60, 60
60, 60
60, 60
61, 61
61, 61
61, 61
61, 61
62, 62
62, 62
63, 63
63, 63
64, 64
65, 65
65, 65
65, 65
66, 66
66, 66
66, 66
66, 66
66, 66
66, 66
71, 71
79, 79
84, 84
85, 85
84, 84
82, 82
78, 78
67, 67
60, 60
60, 60
59, 59
60, 60
60, 60
60, 60
61, 61
61, 61
61, 61
62, 62
63, 63
63, 63
64, 64
64, 64
65, 65
65, 65
66, 66
66, 66
66, 66
66, 66
66, 66
67, 67
74, 74
81, 81
85, 85
86, 86
85, 85
83, 83
79, 79
69, 69
60, 60
60, 60
59, 59
